Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-27,657907,Eco Services,Yes,Used Car Sales,Bahamas,incoming,Italy,GBP,722064.91,422427.45
2024-01-11,587817,Tech Products,No,Retail,St. Lucia,incoming,Germany,USD,945485.16,923882.41
2024-01-19,941065,Tech Services,No,Retail,Jamaica,outgoing,Italy,EUR,256717.02,308789.7
2024-01-14,833293,Tech Corporation,Yes,Manufacturing,Barbados,incoming,Italy,EUR,219954.43,317286.58
2024-01-06,850952,Future Industries,No,Retail,St. Lucia,outgoing,Bahamas,EUR,895875.39,981227.81
2024-01-04,989613,Global Products,No,Manufacturing,Barbados,outgoing,Barbados,EUR,309073.21,326789.79
2024-01-22,450299,Tech Technologies,Yes,Technology,Barbados,incoming,Canada,CAD,581455.07,833166.67
2024-01-09,408552,Future Solutions,No,Healthcare,St. Lucia,incoming,Barbados,GBP,342540.28,71290.87
2024-01-03,417652,Global Technologies,No,Construction,Barbados,incoming,United Kingdom,GBP,148624.86,137632.07
2024-01-19,227025,NextGen Solutions,No,Construction,Cayman Islands,incoming,St. Lucia,EUR,722236.75,1000354.4
2024-01-17,432848,NextGen Corporation,Yes,Used Car Sales,Bahamas,incoming,Germany,CAD,945410.92,1141356.26
2024-01-31,763813,Tech Industries,Yes,Manufacturing,St. Lucia,incoming,Cayman Islands,EUR,10011.69,13841.91
2024-01-10,104506,Eco Corporation,Yes,Used Car Sales,Jamaica,outgoing,Spain,USD,102724.34,4305.27
2024-01-17,627747,Innovative Industries,No,Used Car Sales,Cayman Islands,incoming,St. Lucia,GBP,312273.74,99330.76
2024-01-05,900311,Future Services,No,Used Car Sales,Barbados,incoming,Bahamas,CAD,417469.15,550662.38
2024-01-21,807630,Dynamic Corporation,No,Construction,Cayman Islands,incoming,Italy,GBP,811167.43,924560.03
2024-01-07,907394,Eco Solutions,Yes,Retail,Bahamas,outgoing,Jamaica,CAD,975323.6,1304126.43
2024-01-17,288581,Innovative Corporation,No,Finance,Jamaica,outgoing,Germany,EUR,830495.06,690458.84
2024-01-14,798864,Eco Services,Yes,Finance,Jamaica,outgoing,St. Lucia,EUR,130883.59,151274.76
2024-01-17,681087,Innovative Solutions,Yes,Construction,Barbados,incoming,Mexico,CAD,541362.17,321910.14
