Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-02,465493,Future Products,No,Retail,Jamaica,outgoing,United States,USD,63242.52,5895.54
2024-01-12,791208,Future Services,No,Used Car Sales,Bahamas,outgoing,Canada,USD,481662.95,561289.47
2024-01-20,327066,Eco Products,Yes,Construction,St. Lucia,outgoing,Cayman Islands,GBP,140440.55,48697.34
2024-01-05,464375,Future Technologies,No,Healthcare,St. Lucia,outgoing,Bahamas,GBP,760007.49,130871.37
2024-01-03,755396,Tech Corporation,No,Technology,Cayman Islands,outgoing,Canada,EUR,77873.21,99583.93
2024-01-15,227379,NextGen Industries,No,Technology,Bahamas,outgoing,Canada,USD,889544.06,903183.43
2024-01-07,610032,Global Industries,Yes,Retail,St. Lucia,outgoing,Italy,GBP,776517.86,971939.61
2024-01-05,627923,Dynamic Industries,Yes,Construction,Barbados,incoming,United States,GBP,891124.32,898907.8
2024-01-26,313937,Eco Industries,No,Retail,Bahamas,outgoing,United States,GBP,61291.44,8561.21
2024-01-14,655131,Global Corporation,Yes,Technology,Jamaica,incoming,Spain,GBP,12021.25,16345.86
2024-01-13,298558,Global Products,No,Finance,Cayman Islands,outgoing,Cayman Islands,GBP,335021.61,460351.72
2024-01-29,849130,Tech Industries,No,Construction,Cayman Islands,outgoing,St. Lucia,EUR,602610.28,638272.24
2024-01-20,824885,Innovative Corporation,No,Microfinance,St. Lucia,outgoing,Canada,EUR,405292.61,534030.76
2024-01-13,759574,Dynamic Solutions,No,Retail,Barbados,incoming,France,EUR,703277.92,691823.1
2024-01-21,492623,Dynamic Technologies,Yes,Finance,Cayman Islands,incoming,Canada,USD,510742.19,508501.93
2024-01-10,908648,Future Solutions,Yes,Healthcare,Bahamas,outgoing,Jamaica,CAD,1437.01,1457.69
2024-01-29,922767,Future Solutions,Yes,Used Car Sales,Bahamas,outgoing,France,GBP,536120.1,205239.77
2024-01-08,609102,NextGen Solutions,Yes,Finance,Bahamas,outgoing,United Kingdom,GBP,572662.14,643465.36
2024-01-19,295096,Future Technologies,Yes,Retail,St. Lucia,outgoing,Italy,CAD,366820.77,94087.28
2024-01-19,627299,Innovative Services,No,Finance,St. Lucia,incoming,St. Lucia,GBP,103394.43,107015.92
2024-01-08,739301,Future Products,No,Technology,Cayman Islands,outgoing,Jamaica,GBP,257472.56,115734.13
2024-01-11,531747,Global Corporation,No,Used Car Sales,Cayman Islands,outgoing,Jamaica,USD,779175.47,987951.97
2024-01-29,142102,Eco Solutions,No,Manufacturing,Barbados,incoming,Jamaica,USD,147009.28,101217.7
2024-01-02,203331,Tech Technologies,Yes,Construction,St. Lucia,outgoing,Cayman Islands,USD,299202.73,363819.12
2024-01-19,132136,Innovative Products,No,Manufacturing,Cayman Islands,outgoing,Spain,USD,341392.25,286438.47
2024-01-13,539228,NextGen Corporation,No,Retail,Cayman Islands,incoming,United Kingdom,USD,938467.49,238732.75
2024-01-21,863467,Eco Services,Yes,Technology,Cayman Islands,incoming,Canada,GBP,349843.92,233349.85
2024-01-15,516846,Eco Technologies,No,Microfinance,Barbados,incoming,Barbados,GBP,92485.72,32542.57
