Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-08,117037,Dynamic Technologies,Yes,Finance,Cayman Islands,outgoing,Canada,USD,808939.31,1159645.68
2024-01-01,368731,Innovative Corporation,No,Retail,Jamaica,incoming,Mexico,GBP,7990.49,3699.0
2024-01-05,335705,Global Services,No,Finance,Bahamas,incoming,Germany,CAD,345261.87,464409.43
2024-01-30,603283,Tech Technologies,No,Technology,Barbados,incoming,Canada,GBP,777897.47,857415.87
2024-01-02,629422,Eco Services,No,Retail,Jamaica,incoming,Bahamas,EUR,666860.15,81398.27
2024-01-08,423618,Global Services,Yes,Construction,Barbados,outgoing,Bahamas,USD,362211.74,303603.31
2024-01-03,706631,Eco Services,No,Finance,St. Lucia,incoming,Bahamas,EUR,113512.51,103846.36
2024-01-15,824123,Tech Technologies,No,Healthcare,St. Lucia,incoming,United States,CAD,212918.28,134326.11
2024-01-09,180160,Tech Industries,No,Manufacturing,Cayman Islands,outgoing,Spain,GBP,62208.77,88895.34
2024-01-28,628941,Dynamic Corporation,Yes,Manufacturing,St. Lucia,outgoing,St. Lucia,GBP,156440.97,155953.61
2024-01-14,968894,Innovative Solutions,No,Microfinance,Cayman Islands,incoming,Bahamas,EUR,729852.2,497071.81
2024-01-11,811413,NextGen Services,No,Technology,Barbados,outgoing,Cayman Islands,CAD,657288.22,922957.39
2024-01-22,221222,Innovative Services,No,Microfinance,St. Lucia,incoming,Mexico,USD,768515.58,156838.78
2024-01-12,579676,Eco Corporation,No,Construction,Jamaica,outgoing,United Kingdom,EUR,724382.35,1003430.0
2024-01-23,647672,Eco Industries,Yes,Used Car Sales,Bahamas,outgoing,Spain,EUR,394064.13,419277.77
2024-01-01,295120,Tech Solutions,No,Construction,Cayman Islands,incoming,St. Lucia,USD,725115.32,540741.62
2024-01-07,289476,Future Products,No,Construction,Bahamas,incoming,Germany,CAD,428942.72,426593.84
2024-01-21,682301,Tech Solutions,Yes,Technology,St. Lucia,outgoing,Barbados,USD,742910.33,876311.48
2024-01-19,609506,Dynamic Industries,No,Retail,Jamaica,outgoing,United States,USD,652308.8,854516.08
2024-01-04,510815,Eco Industries,Yes,Used Car Sales,Barbados,outgoing,Cayman Islands,CAD,735777.26,301094.07
2024-01-20,937685,Global Services,No,Used Car Sales,Bahamas,outgoing,United Kingdom,EUR,532742.54,569833.79
2024-01-19,274396,NextGen Corporation,No,Microfinance,Jamaica,outgoing,Cayman Islands,CAD,36891.96,50406.6
2024-01-20,977453,Eco Corporation,Yes,Finance,Barbados,outgoing,Italy,EUR,861498.6,1170364.58
2024-01-04,549060,NextGen Solutions,Yes,Used Car Sales,Barbados,outgoing,United Kingdom,EUR,369506.78,496448.04
2024-01-30,514681,Innovative Corporation,No,Construction,Bahamas,incoming,United Kingdom,CAD,404936.04,440186.29
2024-01-09,912268,Eco Products,No,Healthcare,Bahamas,outgoing,Barbados,USD,327255.69,411289.12
2024-01-01,735616,Tech Services,Yes,Used Car Sales,Barbados,incoming,United Kingdom,USD,86080.55,101730.55
2024-01-31,858349,Eco Products,Yes,Technology,Jamaica,incoming,Bahamas,USD,193194.0,273131.26
2024-01-03,922986,Future Technologies,No,Used Car Sales,St. Lucia,incoming,United States,GBP,30248.88,43610.97
2024-01-24,116580,Eco Services,No,Used Car Sales,Cayman Islands,incoming,Italy,CAD,801137.07,301101.58
2024-01-28,434136,Global Technologies,No,Used Car Sales,Jamaica,outgoing,Jamaica,USD,878699.76,97710.61
